Weighted Total [Total Pts: up to 0 Percentage] |1976945,Total [Total Pts: up to 556 Score] |1976944,Syllabus Quiz [Total Pts: 5 Score] |2061052,Academic Dishonesty Quiz [Total Pts: 5 Score] |2061053,Week 3.1_Population Genetics and Adaptations pt. 1 [Total Pts: 1 Score] |2081743,Week 3.1_Population Genetics and Adaptations pt. 2 [Total Pts: 1 Score] |2081748,Week 3.2_Human Population Genetics [Total Pts: 1 Score] |2081750,Week 4.1_Fossils and Pre-primates [Total Pts: 2 Score] |2081756,Week 5.1_Fossil Primates pt. 1 [Total Pts: 1 Score] |2081767,Week 5.1_Fossil Primates pt. 2 [Total Pts: 1 Score] |2081768,Week 5.2_Living Primates; Primate Social Behavior [Total Pts: 1 Score] |2081769,6.1_Primate Cognition and Intelligence [Total Pts: 2 Score] |2081782,Week 7.1_Your Inner Monkey [Total Pts: 1 Score] |2081788,Week 7.2_Fossil Hominins pt. 1 [Total Pts: 1 Score] |2081789,Week 7.2_Fossil Hominins pt. 2 [Total Pts: 1 Score] |2081790,Week 7.2_Fossil Hominins pt. 3 [Total Pts: 1 Score] |2081792,Week 8.1_Australopithecines pt. 1 [Total Pts: 1 Score] |2081793,Week 8.1_Australopithecines pt. 2 [Total Pts: 1 Score] |2081794,Week 8.2_Intro to the genus Homo [Total Pts: 1 Score] |2081795,Week 9.1_Homo erectus and variants [Total Pts: 1 Score] |2081796,"Week 9.2_Archaic H. sapiens, Neanderthals, and AMH pt. 1 [Total Pts: 1 Score] |2081797","Week 9.2_Archaic H. sapiens, Neanderthals, and AMH pt. 2 [Total Pts: 1 Score] |2081798",Week 10.1_Origins and Mirgation of Modern Humans pt 1 [Total Pts: 1 Score] |2081799,Week 10.1_Origins and Migrations of Modern Humans pt. 2 [Total Pts: 1 Score] |2081800,Week 12.1_Museum Assignment & Intro to Human Variation [Total Pts: 2 Score] |2081980,Week 13.1_Human Variation pt 1 [Total Pts: 1 Score] |2081992,Week 13.1_Human Variation pt 2 [Total Pts: 0 Score] |2081993,Week 13.2_How race becomes biology pt 1 [Total Pts: 1 Score] |2081994,Week 13.2_How race becomes biology pt 2 [Total Pts: 1 Score] |2081997,Week 13.2_How race becomes biology pt 3 [Total Pts: 1 Score] |2082000,Week 14.1_Diet & Agriculture 1 [Total Pts: 1 Score] |2082003,Week 14.2_Diet & Agriculture 2 pt. 1 [Total Pts: 1 Score] |2082005,Week 14.2_Diet & Agriculture 2 pt. 2 [Total Pts: 1 Score] |2082006,Week 15.1_Forensic Anthropology [Total Pts: 2 Score] |2082007,Week 16.1_Are we still evolving? [Total Pts: 2 Score] |2082009,Lecture video quiz total [Total Pts: up to 35 Score] |2097316,Submit Final Lab 1 Here [Total Pts: 20 Score] |2084171,Submit Final Lab  2 Here [Total Pts: 20 Score] |2085587,Submit Final Lab 3 Here [Total Pts: 20 Score] |2085588,Submit Lab 4 Here [Total Pts: 20 Score] |2085589,Submit Lab 5 Here [Total Pts: 20 Score] |2085590,Submit Lab 6 Here [Total Pts: 20 Score] |2085591,Submit Lab 7 Here [Total Pts: 20 Score] |2085592,Submit Lab 8 Here [Total Pts: 20 Score] |2085593,Submit Lab 9 Here [Total Pts: 20 Score] |2085594,Submit Lab 10 Here [Total Pts: 20 Score] |2085595,Week 3 Synch Session [Total Pts: 10 Score] |2086564,Week 4 Synch Session [Total Pts: 10 Score] |2086565,Week 5 Synch Session [Total Pts: 10 Score] |2086566,Week 6 Synch Session [Total Pts: 10 Score] |2086567,Week 8 Synch Session [Total Pts: 10 Score] |2086568,Week 9 Synch Session [Total Pts: 10 Score] |2086569,Week 10 Synch Session [Total Pts: 10 Score] |2086570,Week 13 Synch Session [Total Pts: 10 Score] |2086571,Week 14 Synch Session [Total Pts: 10 Score] |2086572,Week 15 Synch Session [Total Pts: 10 Score] |2086573,Week 16 Synch Session [Total Pts: 10 Score] |2086574,SUBMISSION PORTAL: Scavenger Hunt (Individual Project) [Total Pts: 20 Score] |2089729,SUBMISSION PORTAL: Museum Exhibit Project (group work project) [Total Pts: 40 Score] |2089730,Submit top 3 choices HERE [Total Pts: 0 Score] |2089736,Museum Introduction video [Total Pts: 1 Score] |2089756,Week 8: TURN IN Museum Progress Check-In HERE [Total Pts: 0 Score] |2095122,Exam 1 [Total Pts: 25 Score] |2086347,Exam 2 [Total Pts: 25 Score] |2086357,Exam 3_SP2021 [Total Pts: 25 Score] |2106849,Total Extra Credit [Total Pts: 0 Score] |2107595,Extra Credit Survey 1 [Total Pts: 0 Complete/Incomplete] |2087491,Extra Credit Survey 2 [Total Pts: 0 Complete/Incomplete] |2108132,Extra Credit Survey 3 [Total Pts: 0 Complete/Incomplete] |2124954,Optional Post-Lab 9 Survey for Extra Credit [Total Pts: 0 Complete/Incomplete] |2123873,Week 14 Survey_Do BEFORE attending Live Session [Total Pts: 0 Complete/Incomplete] |2117557,SUBMIT Peer Reviews Here [Total Pts: 0 Score] |2118057,Midterm Percentage [Total Pts: up to 197 Percentage] |2104492,Midterm Letter Grade [Total Pts: up to 197 Letter] |2273458,Current grade [Total Pts: up to 516 Letter] |2124888,Exam 4_SP2021 [Total Pts: 25 Score] |2125835,Final Percentage [Total Pts: 480 Percentage] |2130996,Final Grade [Total Pts: 0 Text] |2130541,Lab One: Pigeonetics [Total Pts: 20 Score] |2167326,Lab Two: Forces of Evolution [Total Pts: 20 Score] |2167575,Lab Three: Primate Evolution [Total Pts: 20 Score] |2169717,Total Assignment Percentage [Total Pts: up to 370 Percentage] |2292091,Total Exam Percentage [Total Pts: up to 100 Percentage] |2292092,Total Attendance Percentage [Total Pts: up to 35 Percentage] |2292094,Total Extra Credit [Total Pts: 0 Score] |2292095
,400.25,5.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,,,,,,28.0,19.25,19.5,19.5,19,19.0,17.75,11.0,18.25,0.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,20,40.0,,1.0,,19.0,22.0,20.0,0.0,,In Progress,,,Complete,Needs Grading,93.52790999999999,A,C,18.0,83.38541,B,,,,76.55405,79,80.0,0.0
,471.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,20,18,18,20,20.0,20.0,20.0,20.0,18.0,0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20,40.0,Needs Grading,1.0,,22.0,24.0,23.0,12.0,Complete,Complete,Complete,Complete,Complete,Needs Grading,95.93908,A,A,0.0,98.125,A,,,,92.97296999999999,69,100.0,12.0
,395.5,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,16,20,16,0,20.0,18.5,0.0,18.0,0.0,20,10.0,10.0,10.0,0.0,10.0,10.0,7.0,10.0,10.0,,,20,34.0,Needs Grading,1.0,,19.0,19.0,15.0,15.0,Complete,,Complete,Complete,In Progress,Needs Grading,74.61928,C,C,22.0,81.35416,B,,,,70.13513,75,100.0,15.0
,455.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,19,19.25,19,20,19.25,18.75,19.0,18.75,19.5,19,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,18.5,37.0,Needs Grading,1.0,Needs Grading,7.0,14.0,16.0,12.0,Complete,Complete,Complete,Complete,Complete,Needs Grading,83.88324,B,B,13.0,94.79166,A,,,,93.78378000000001,50,100.0,12.0
,376.0,4.5,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,18,19.75,19.5,19.5,19.0,18.0,19.75,19.5,0.0,0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,20,30.0,0,1.0,,16.0,18.0,13.0,11.5,,Complete,,,,0,84.89846999999999,B,C,19.0,78.33333,C,,,,68.37836999999999,66,100.0,11.5
,457.5,5.0,4.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,18,19,18,17,17.0,19.0,19.0,18.0,20.0,19,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,18,37.0,,1.0,,17.0,17.0,12.0,17.0,Complete,Complete,Complete,Complete,Complete,Needs Grading,87.56345,B,B,0.0,95.3125,A,,,,94.32432,46,100.0,17.0
,157.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,17,0,0,19,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,33.0,Needs Grading,,,19.0,,17.0,4.0,,Complete,Complete,,,,42.639590000000005,F,F,,32.70833,F,,,,29.18918,36,0.0,4.0
,438.5,5.0,4.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,20,20,19.5,19.5,20.0,19.5,0.0,18.0,0.0,20,10.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,20,33.0,0,1.0,,24.0,24.0,24.0,17.5,Complete,Complete,Complete,,In Progress,0,93.1472,A,B,24.0,91.35416,A,,,,75.54054000000001,96,100.0,17.5
,506.0,5.0,4.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,33.0,20,20,19,20,20.0,20.0,20.0,20.0,19.5,20,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20,40.0,Needs Grading,1.0,Needs Grading,21.0,25.0,23.0,0.0,Complete,Complete,Complete,Complete,Complete,Needs Grading,97.20812,A,A,25.0,105.41666000000001,A,,,,99.59459,94,94.28571,0.0
,490.0,4.5,4.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,20,20,18,20,18.0,20.0,20.0,19.0,19.0,18,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,18,40.0,Needs Grading,1.0,Needs Grading,22.0,24.0,23.0,8.0,Complete,Complete,,,Complete,Needs Grading,96.4467,A,A,18.0,102.08333,A,,,,94.59459,87,100.0,8.0
,415.25,5.0,4.0,1.0,1.0,1.0,,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,22.0,17,19.25,15.25,18,18.0,15.75,14.5,19.0,19.5,16.5,10.0,10.0,7.0,10.0,10.0,7.0,0.0,7.0,2.0,0.0,0.0,19.5,40.0,Needs Grading,,,19.0,15.0,18.0,15.0,Complete,Complete,,Complete,Complete,Needs Grading,82.4873,B,B,22.0,86.51041,B,,,,79.79729,74,62.85714,15.0
,433.5,5.0,4.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,20,19,19,18,17.0,18.0,17.0,20.0,20.0,20,10.0,10.0,10.0,4.0,8.0,10.0,10.0,,9.0,,,19,38.0,,1.0,Needs Grading,14.0,21.0,16.0,1.0,Complete,,Complete,In Progress,,Needs Grading,87.05583,B,B,20.0,90.3125,A,,,,85.4054,71,100.0,1.0
,471.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,19,20,18,20,19.0,20.0,19.5,19.5,20.0,19,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,,,19,37.0,Needs Grading,1.0,Needs Grading,21.0,21.0,22.0,12.0,Complete,Complete,Complete,In Progress,Complete,Needs Grading,93.90862,A,A,20.0,96.66666,A,,,,89.18918000000001,84,100.0,12.0
,382.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,16,17,15,19,0.0,18.0,18.0,0.0,0.0,20,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,17,27.0,Needs Grading,1.0,,18.0,16.0,14.0,15.0,Complete,Complete,Complete,Complete,Complete,Needs Grading,84.77157,B,C,17.0,79.58333,B,,,,69.45945,65,100.0,15.0
,512.5,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,19,20,19.75,18,19.75,19.75,19.0,19.75,19.75,19,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,19.75,40.0,,,,24.0,25.0,24.0,8.0,Complete,Complete,In Progress,,Complete,Needs Grading,97.84263,A,A,23.0,106.77083,A,,,,98.24324,96,100.0,8.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,F,F,,,,,In Progress,,0.0,0,0.0,0.0
,490.5,4.5,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,19.5,19,20,20,20.0,19.0,17.0,19.0,20.0,20,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,19.5,40.0,Needs Grading,1.0,,18.0,18.0,18.0,7.0,Complete,In Progress,Complete,Complete,Complete,Needs Grading,91.87817,A,A,21.0,102.1875,A,,,,98.1081,75,100.0,7.0
,369.25,4.5,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,17,19.75,19.25,20,19.5,19.5,0.0,19.75,0.0,0,10.0,5.0,10.0,10.0,10.0,9.0,0.0,10.0,0.0,10.0,0.0,20,33.0,Needs Grading,1.0,,17.0,16.0,10.0,5.0,Complete,Complete,Complete,In Progress,Complete,Needs Grading,86.0406,B,C,15.0,76.92708,C,,,,70.74324,58,100.0,5.0
,459.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,33.0,16.5,19,17.5,19,20.0,19.0,19.0,18.5,19.0,19,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,17.5,29.0,Needs Grading,1.0,,16.0,21.0,20.0,15.0,Complete,Complete,Complete,Complete,Complete,Needs Grading,89.3401,B,B,20.0,93.54166,A,,,,87.29729,77,94.28571,15.0
,361.0,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,15.0,0,18,,,20.0,20.0,20.0,20.0,20.0,20,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,8.0,,,19,40.0,Needs Grading,,,19.0,14.0,18.0,5.0,In Progress,Complete,,,,Needs Grading,48.730959999999996,F,D,15.0,75.20833,C,,,,74.32432,66,42.85714,5.0
,429.0,5.0,4.0,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,17,20,19,19,19.0,20.0,18.0,20.0,20.0,20,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,16,30.0,Needs Grading,1.0,,19.0,,15.0,16.0,,Complete,Complete,Complete,Complete,Needs Grading,73.60406,C,B,18.0,89.375,B,,,,94.05405,52,8.57142,16.0
,223.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,1.0,,1.0,,,1.0,1.0,2.0,,,1.0,,,,,,,,12.0,19,16,,,,,18.0,,,,10.0,,,10.0,10.0,,10.0,,,,,19,38.0,,1.0,,19.0,18.0,16.0,7.0,,Complete,,,,Needs Grading,49.746190000000006,F,F,0.0,46.45833,F,,,,40.54054,53,34.285709999999995,7.0
,74.0,4.5,4.5,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,18,17,,,,,,,,,10.0,,,,,,,,,,,,,,,,15.0,,,0.0,,,,,,,37.56345,F,F,,15.41666,F,,,,12.16216,15,14.28571,0.0
,484.75,4.5,4.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,17.5,20,19,19.5,17.75,19.0,20.0,18.5,19.0,17.5,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20,33.0,0,1.0,,22.0,21.0,18.0,17.0,In Progress,Complete,Complete,Complete,Complete,0,88.83248,B,A,21.0,100.98958,A,,,,92.09459,82,100.0,17.0
,420.0,4.5,4.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,19.5,20,17.5,20,20.0,19.0,16.0,18.0,0.0,20,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,8.0,,,19,29.0,Needs Grading,1.0,Needs Grading,22.0,15.0,18.0,10.0,Complete,Complete,Complete,Complete,Complete,Needs Grading,91.37055,A,B,14.0,85.41666,A,,,,80.0,69,100.0,10.0
,479.5,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,33.0,17.5,18,18,18.5,19.5,18.25,19.75,20.0,19.0,18,10.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,20,33.0,0,1.0,0,24.0,24.0,24.0,11.0,Complete,,,Complete,Complete,0,89.84770999999999,B,A,23.0,99.89583,A,,,,89.05405,95,94.28571,11.0
,347.5,4.5,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,16,17,15,18,16.0,14.0,16.0,,20.0,,10.0,10.0,10.0,10.0,8.0,5.0,10.0,10.0,,,10.0,18,34.0,,1.0,Needs Grading,13.0,15.0,19.0,8.0,Complete,Complete,,,In Progress,Needs Grading,72.33502,C,D,16.0,72.39583,C,,,,72.16216,63,0.0,8.0
,449.0,4.5,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,20,17,19,20,19.5,19.0,17.0,17.0,20.0,19,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,19,34.0,,1.0,,19.0,14.0,14.0,9.0,,Complete,Complete,Complete,,Needs Grading,88.57868,B,B,18.0,93.54166,A,,,,89.32432,65,100.0,9.0
,32.5,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,0.0,,,,,,,16.49746,F,F,,6.77083,F,,,,8.1081,0,0.0,0.0
,439.5,4.5,5.0,1.0,1.0,1.0,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,1.0,,1.0,1.0,1.0,2.0,2.0,32.0,19,18,18,20,19.0,18.0,19.0,19.0,0.0,20,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,17,40.0,Needs Grading,1.0,,17.0,20.0,21.0,2.0,,Complete,,,Complete,Needs Grading,90.10152,A,B,20.0,91.5625,A,,,,85.67567,78,91.42857,2.0
,421.5,5.0,4.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,18,14,4,18,,,19.0,19.0,20.0,20,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,18,29.0,,1.0,,24.0,23.0,12.0,7.0,Complete,Complete,Complete,Complete,,Needs Grading,85.02538,B,B,23.0,87.8125,B,,,,77.56756,82,100.0,7.0
,289.0,4.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,19,10,20,0.0,0.0,20.0,,20.0,20,0.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,,0,32.0,In Progress,,,18.0,17.0,18.0,0.0,,,,,Complete,,61.92893,D,F,17.0,60.208330000000004,D,,,,57.02701999999999,70,0.0,0.0
,406.25,4.0,4.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,33.5,18.75,18.5,17.5,17,18.75,14.0,13.25,15.0,17.5,16.5,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,20,32.0,,1.0,,10.0,10.0,12.0,0.0,,,,,Complete,Needs Grading,78.8071,C,C,13.0,84.63541,B,,,,86.14864,45,95.71428,0.0
,460.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,18,19,18,20,20.0,20.0,19.0,18.0,19.0,20,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,In Progress(19.00),30.0,Needs Grading,1.0,,18.0,16.0,17.0,20.0,Complete,Complete,Complete,Complete,Complete,Needs Grading,89.3401,B,B,13.0,95.83333,A,,,,89.18918000000001,64,100.0,20.0
,504.0,4.5,5.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,29.5,20,20,20,20,20.0,20.0,19.75,20.0,20.0,19.25,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20,40.0,Needs Grading,1.0,Needs Grading,24.0,23.0,24.0,1.0,Complete,,,,Complete,Needs Grading,96.7005,A,A,23.0,105.0,A,,,,99.72972,94,84.28571,1.0
,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0,0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,,,,,,0.0,,,,,,,0.0,F,F,,0.0,F,,,,0.0,0,0.0,0.0
,489.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,20,20,17,20,20.0,18.0,14.0,20.0,20.0,20,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,19,40.0,Needs Grading,1.0,Needs Grading,25.0,20.0,21.0,5.0,Complete,Complete,Complete,Complete,Complete,Needs Grading,95.43146999999999,A,A,14.0,101.875,A,,,,97.02702,80,100.0,5.0
,360.25,4.5,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,34.0,0,17.75,0,15.5,19.5,0.0,0.0,18.5,18.5,0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,19.5,35.0,0,1.0,,19.0,14.0,15.0,16.5,Complete,Complete,Complete,Complete,Complete,0,61.80203,D,D,8.0,75.05208,C,,,,66.01351,56,97.14285,16.5
,442.0,4.5,4.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,20,19,20,20,20.0,19.0,16.0,20.0,0.0,0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20,32.0,Needs Grading,1.0,,18.0,15.0,15.0,21.0,,Complete,Complete,Complete,Complete,Needs Grading,90.35531999999999,A,B,12.0,92.08333,A,,,,85.4054,60,100.0,21.0
,478.5,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,35.0,19,19,18,19,20.0,20.0,20.0,18.5,20.0,20,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,,,20,37.0,Needs Grading,1.0,Needs Grading,20.0,22.0,23.0,15.0,Complete,Complete,Complete,Complete,Complete,Needs Grading,93.40101,A,A,22.0,99.6875,A,,,,89.32432,87,100.0,15.0
