Food Allergies Survey [Total Pts: 0 Complete/Incomplete] |1479492,Academic Integrity Quiz [Total Pts: 10 Score] |1479493,Syllabus Quiz [Total Pts: 10 Score] |1494922,Pre-Lab 1 [Total Pts: 5 Score] |1496771,Lab 1 [Total Pts: 20 Score] |1496772,Pre-Lab 2 [Total Pts: 5 Score] |1496773,Lab 2 [Total Pts: 20 Score] |1496774,Pre-Lab 3 [Total Pts: 5 Score] |1496775,Lab 3 [Total Pts: 20 Score] |1496776,Pre-Lab 4 [Total Pts: 5 Score] |1496777,Lab 4 [Total Pts: 20 Score] |1496778,Pre-Lab 5 [Total Pts: 5 Score] |1496779,Lab 5 [Total Pts: 20 Score] |1496780,Pre-Lab 6 [Total Pts: 5 Score] |1496781,Lab 6 [Total Pts: 20 Score] |1496782,Pre-Lab 7 [Total Pts: 5 Score] |1496783,Lab 7 [Total Pts: 20 Score] |1496784,Pre-Lab 8 [Total Pts: 5 Score] |1496785,Lab 8 [Total Pts: 20 Score] |1496786,Pre-Lab 9 [Total Pts: 5 Score] |1496787,Lab 9 [Total Pts: 20 Score] |1496788,Pre-Lab 10 [Total Pts: 5 Score] |1496789,Lab 10 [Total Pts: 20 Score] |1496790,E&E #1 [Total Pts: 1 Score] |1496793,E&E #2 [Total Pts: 2 Score] |1496794,E&E #3 [Total Pts: 2 Score] |1496795,E&E #4 [Total Pts: 2 Score] |1496796,E&E #5 [Total Pts: 2 Score] |1496797,E&E #6 [Total Pts: 4 Score] |1496798,E&E #7 [Total Pts: 2 Score] |1496799,E&E #8 [Total Pts: 5 Score] |1496800,E&E #9 [Total Pts: 3 Score] |1496801,E&E #10 [Total Pts: 3 Score] |1496802,E&E #12 [Total Pts: 4 Score] |1496804,E&E #13 [Total Pts: 2 Score] |1496805,E&E #14 [Total Pts: 4 Score] |1496806,E&E Running Total [Total Pts: up to 36 Score] |1496808,Documentary Review Extra Credit [Total Pts: 0 Score] |1522564,ANTH 105 Midterm Instruction Assessment [Total Pts: 0 Complete/Incomplete] |1535043,Midterm Grade Percentage Column [Total Pts: up to 133 Percentage] |1548277,Midterm Letter Grade [Total Pts: 0 Text] |1548278,March Mammal Madness Extra Credit [Total Pts: 0 Score] |1550204,Documentary Lab Questions [Total Pts: 25 Score] |1556627,Exam 1 [Total Pts: 40 Score] |1556814,Lincoln Park Zoo Assignment [Total Pts: 30 Score] |1561597,Field Museum Scavenger Hunt [Total Pts: 50 Score] |1561598,Misc. Extra Credit [Total Pts: 0 Score] |1566943,Final Percentage [Total Pts: 475 Percentage] |1566944,Final Letter Grade [Total Pts: 100 Text] |1566946,Exam 2 [Total Pts: 40 Score] |1567890,Inquizitive Extra Credit [Total Pts: 0 Score] |1568003,Date Last Attendance [Total Pts: 0 Text] |1569614,Total Assignment Percentage [Total Pts: up to 355 Percentage] |2291801,Total Exam Percentage [Total Pts: up to 80 Percentage] |2291807,Total Attendance Percentage [Total Pts: up to 36 Percentage] |2291808,Total Extra Credit [Total Pts: 0 Score] |2291988
Complete,10.0,10.0,5.0,20.0,5.0,19.5,5.0,20.0,5.0,20.0,5.0,20.0,4.5,20.0,3.5,19.0,5.0,19.0,4.0,20.0,5.0,20.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,5.0,3.0,,,2.0,4.0,28.0,,Complete,98.87218,A,,20,33.0,30.0,47.0,,92.31578,A,24.0,,5/1/19,96.19718,71.25,77.77776999999999,0.0
Complete,10.0,10.0,3.5,19.0,0.0,18.5,5.0,18.0,5.0,,5.0,15.0,5.0,19.0,3.0,15.0,5.0,19.0,5.0,20.0,5.0,20.0,1.0,2.0,1.0,2.0,,2.0,2.0,2.0,,2.0,4.0,2.0,4.0,24.0,2.5,Complete,72.93233000000001,D,5.0,22.5,34.0,23.0,45.0,,85.89473000000001,B,31.0,,,83.23943,81.25,66.66666,7.5
Complete,9.0,9.0,5.0,17.5,3.0,18.0,4.5,18.0,5.0,20.0,5.0,18.5,5.0,19.0,5.0,19.0,4.0,18.5,5.0,19.0,4.5,19.0,1.0,0.0,2.0,2.0,1.0,4.0,2.0,5.0,3.0,1.0,4.0,0.0,0.0,25.0,5.0,Complete,89.47368,B,,25,29.0,26.0,48.5,1.0,90.94736,A,27.0,,,93.52112,70.0,69.44444,6.0
Complete,7.0,10.0,5.0,0.0,0.0,0.0,3.0,17.5,2.0,14.0,5.0,16.0,3.0,18.5,3.0,19.0,3.0,19.0,5.0,18.0,4.0,16.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,5.5,5.0,Complete,46.99248,F,,0,1.0,29.5,42.0,1.0,61.47368,D,18.0,,,68.30985,23.75,15.27777,6.0
,8.0,10.0,5.0,19.0,5.0,19.0,4.0,20.0,5.0,18.0,3.0,20.0,5.0,17.0,5.0,19.0,4.0,20.0,5.0,20.0,5.0,20.0,,2.0,,2.0,,,,,3.0,,,2.0,4.0,13.0,,Complete,87.96992,B,,25,35.0,29.0,44.5,,92.94736,A,39.0,,,94.78873,92.5,36.11111,0.0
Complete,8.0,8.0,4.5,19.0,3.5,16.0,4.0,16.0,5.0,18.0,4.0,16.0,0.0,17.0,5.0,18.5,3.5,18.5,5.0,18.0,4.0,18.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,5.0,3.0,0.0,4.0,2.0,4.0,23.0,5.0,Complete,78.94736,C,,12.5,29.0,27.5,42.0,2.0,83.26315,B,28.0,,,83.23943,71.25,63.88888000000001,7.0
Complete,7.0,10.0,0.0,0.0,3.0,18.0,4.0,18.0,5.0,20.0,5.0,18.0,4.5,19.0,3.5,16.5,3.5,20.0,5.0,20.0,5.0,20.0,1.0,0.0,2.0,,2.0,4.0,2.0,5.0,3.0,1.0,5.0,2.0,4.0,31.0,,Complete,70.67669000000001,C,,25,29.0,25.0,40.0,,83.36842,B,32.0,,5/1/19,83.94366,76.25,86.11111,0.0
Complete,9.0,9.0,3.0,19.0,5.0,18.5,3.0,19.0,5.0,20.0,4.0,19.5,4.0,19.0,4.5,18.5,4.0,20.0,5.0,20.0,5.0,20.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,,Complete,85.33834,B,,20,27.0,24.5,43.5,1.0,85.05263000000001,B,26.0,,,91.2676,66.25,22.22222,1.0
Complete,9.0,7.0,0.0,0.0,0.0,0.0,5.0,19.0,5.0,14.0,0.0,20.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,2.0,,Complete,44.3609,F,,,,,,,,,,,,17.746470000000002,0.0,5.55555,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0
Complete,10.0,10.0,5.0,16.0,1.0,14.5,5.0,15.5,3.0,20.0,4.0,20.0,3.0,19.0,4.0,20.0,4.0,19.0,5.0,20.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Complete,75.18796,C,5.0,25,34.0,26.0,45.0,,86.10526,B,27.0,,,89.57746,76.25,0.0,10.0
Complete,,9.0,0.0,0.0,4.0,18.0,5.0,18.5,5.0,20.0,5.0,17.0,,,3.5,19.0,3.5,19.0,4.0,20.0,0.0,0.0,,,,2.0,,,,5.0,,,,,,7.0,,,61.27819,D,,17.5,32.0,30.0,26.0,,65.05263000000001,D,26.0,,4/30/19,66.19718,72.5,19.44444,0.0
,10.0,10.0,4.5,19.0,5.0,17.0,5.0,18.0,4.5,20.0,5.0,19.5,5.0,16.5,4.5,19.0,3.5,18.0,4.0,17.0,4.0,18.0,1.0,0.0,1.5,0.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,12.5,,Complete,89.09774,B,,25,30.0,24.0,45.5,1.0,86.73684,B,27.0,,,90.56338000000001,71.25,34.72222,1.0
Complete,7.0,8.0,4.0,13.0,3.0,16.0,2.0,18.0,,16.0,3.0,17.0,1.0,15.0,3.0,18.5,,,,,,,1.0,2.0,1.0,2.0,2.0,4.0,2.0,,0.0,,,,,14.0,,Complete,74.43609000000001,C,,,23.0,20.0,,,43.26315,F,,,4/11/19,42.11267,28.75,38.88888,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0
Complete,9.0,9.0,5.0,20.0,3.0,17.0,4.5,18.0,4.0,20.0,3.0,19.0,4.0,17.0,3.0,20.0,2.0,19.5,5.0,20.0,4.5,20.0,1.0,2.0,1.0,2.0,0.0,,1.0,5.0,3.0,3.0,4.0,2.0,4.0,28.0,,,86.8421,B,,22.5,22.0,25.0,46.5,,86.0,B,26.0,,,90.84506999999999,60.0,77.77776999999999,0.0
Complete,6.0,10.0,5.0,20.0,4.0,15.0,6.0,19.0,4.5,20.0,5.0,20.0,4.5,20.0,5.0,18.5,5.0,20.0,4.0,20.0,5.0,20.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,5.0,3.0,1.0,,,4.0,27.0,,Complete,91.35338,A,,20,30.0,29.0,48.0,,91.26315,A,30.0,,5/1/19,95.07042,75.0,75.0,0.0
,9.0,10.0,5.0,20.0,5.0,19.0,5.0,18.0,5.0,19.0,5.0,17.5,5.0,20.0,5.0,19.0,5.0,19.5,5.0,19.0,5.0,19.0,1.0,1.0,2.0,2.0,2.0,4.0,0.0,3.0,3.0,3.0,4.0,2.0,4.0,31.0,3.0,Complete,95.48872,A,,22.5,36.0,25.0,49.0,1.0,95.05263000000001,A,36.0,,,94.78873,90.0,86.11111,4.0
Complete,8.0,9.0,5.0,16.0,3.5,15.0,5.0,18.5,5.0,17.0,4.0,20.0,4.0,17.0,5.0,19.5,5.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,14.0,,Complete,79.69924,C,5.0,22.5,25.0,24.0,45.5,2.0,70.73684,C,0.0,2.5,,76.19718,31.25,38.88888,9.5
Complete,10.0,10.0,5.0,18.0,5.0,17.0,4.0,16.0,5.0,17.0,5.0,19.0,5.0,18.0,4.0,19.0,,,5.0,19.0,4.0,19.0,1.0,2.0,2.0,2.0,,4.0,,,0.0,,,2.0,,13.0,,Complete,88.7218,B,,25,36.0,29.0,39.0,,84.42105,B,35.0,,,83.66197,88.75,36.11111,0.0
Complete,8.0,8.0,3.5,20.0,3.0,13.0,5.0,13.75,3.5,20.0,3.0,19.0,3.5,19.0,4.5,20.0,2.5,19.5,5.0,20.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,Complete,73.49624,C,,22.5,33.0,26.5,45.5,,84.15789000000001,B,33.0,0.5,,89.36619,82.5,0.0,0.5
Complete,8.0,8.0,4.5,19.0,3.5,16.0,5.0,17.0,4.5,16.0,4.0,16.0,4.5,16.5,5.0,20.0,3.5,20.0,4.0,20.0,4.0,20.0,0.0,0.0,0.0,2.0,2.0,2.5,0.0,4.5,3.0,1.5,4.0,2.0,4.0,25.5,5.0,Complete,81.203,B,,20,29.0,23.0,45.0,2.0,84.8421,B,20.0,,,87.60563,61.25,70.83333,7.0
Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0
Complete,8.0,10.0,4.0,19.0,4.0,20.0,5.0,17.0,5.0,16.5,5.0,16.0,5.0,19.5,5.0,19.0,3.0,19.5,2.5,20.0,5.0,18.0,1.0,1.0,0.0,1.5,2.0,0.0,2.0,5.0,3.0,2.0,2.0,2.0,4.0,25.5,,Complete,85.71428,B,,25,32.0,28.5,44.5,1.0,90.52631,A,33.0,,,91.83098000000001,81.25,70.83333,1.0
Complete,10.0,10.0,4.0,17.5,3.5,19.5,4.0,19.0,5.0,18.5,3.5,18.5,4.5,18.5,4.5,19.5,5.0,18.5,5.0,19.0,4.5,19.0,1.0,0.0,1.0,2.0,1.0,2.5,2.0,5.0,3.0,0.0,0.0,0.0,0.0,17.5,,Complete,89.09774,B,,17.5,27.0,22.0,41.5,1.0,85.57894,B,29.0,,,87.88731999999999,70.0,48.61111,1.0
,,,4.0,18.0,5.0,16.0,5.0,19.0,4.0,19.0,3.0,18.0,3.0,17.0,3.0,19.0,2.0,20.0,5.0,16.0,5.0,19.0,1.0,2.0,1.0,,,2.0,,,0.0,3.0,4.0,,,13.0,,,72.18045,C,,25,36.0,28.0,,,75.15789000000001,C,35.0,,,76.9014,88.75,36.11111,0.0
Complete,10.0,10.0,5.0,19.0,5.0,19.0,5.0,19.25,5.0,20.0,5.0,20.0,5.0,19.5,5.0,20.0,5.0,19.5,5.0,20.0,5.0,20.0,1.0,0.0,1.0,2.0,1.0,4.0,2.0,5.0,3.0,3.0,4.0,2.0,4.0,32.0,,Complete,94.92481,A,,25,36.0,29.5,48.0,,97.42105,A,38.0,,,98.23943,92.5,88.88888,0.0
Complete,10.0,10.0,5.0,20.0,5.0,17.0,5.0,19.5,5.0,20.0,5.0,19.0,4.5,17.5,0.0,0.0,2.5,19.0,5.0,19.0,3.0,18.0,0.0,0.0,1.5,2.0,2.0,4.0,2.0,0.0,3.0,1.0,3.0,0.0,0.0,18.5,,Complete,94.73684,A,,25,33.0,28.5,43.5,1.0,86.42105,B,32.0,,,86.19718,81.25,51.38888,1.0
,9.0,10.0,4.0,18.0,5.0,19.0,5.0,18.5,0.0,0.0,3.5,19.0,5.0,19.0,4.5,20.0,5.0,19.5,5.0,19.0,5.0,19.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,5.0,3.0,3.0,4.0,0.0,4.0,26.0,,Complete,70.30075,C,,25,31.0,28.0,47.5,1.0,87.89473000000001,B,33.0,,,88.30985,80.0,72.22222,1.0
,0.0,0.0,4.5,19.0,0.0,0.0,5.0,18.0,0.0,0.0,3.5,18.0,4.0,18.5,4.5,19.0,0.0,0.0,5.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Complete,34.9624,F,,22.5,25.0,27.5,47.5,1.0,62.105259999999994,D,34.0,,,66.19718,73.75,0.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0
In Progress,8.0,10.0,5.0,20.0,5.0,16.5,5.0,17.25,5.0,20.0,5.0,20.0,5.0,18.0,5.0,20.0,5.0,20.0,5.0,20.0,4.5,20.0,1.0,0.0,0.0,0.0,1.0,,,5.0,,,,2.0,4.0,13.0,,Complete,85.52631,B,,20,38.0,26.0,48.5,,91.94736,A,32.0,,,94.57746,87.5,36.11111,0.0
Complete,9.0,10.0,5.0,20.0,5.0,18.0,5.0,19.0,5.0,20.0,,,5.0,19.0,,,,,,,,,,,2.0,,,4.0,2.0,,0.0,,,,,8.0,,Complete,91.72932,A,,,,,,,31.89473,F,,3.5,3/14/19,34.0845,0.0,22.22222,3.5
Complete,10.0,10.0,3.0,20.0,5.0,12.5,5.0,16.5,4.0,20.0,3.5,16.0,4.0,17.0,5.0,20.0,4.5,19.0,5.0,20.0,4.0,20.0,1.0,2.0,1.0,2.0,1.0,,2.0,5.0,3.0,3.0,4.0,2.0,4.0,30.0,,Complete,84.9624,B,,25,29.0,23.0,41.0,,86.94736,B,31.0,,,88.16901,75.0,83.33333,0.0
Complete,9.0,10.0,4.0,20.0,5.0,17.0,5.0,17.5,5.0,17.0,4.0,16.0,5.0,17.5,5.0,18.5,5.0,18.5,4.5,18.0,5.0,18.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,5.0,3.0,3.0,4.0,1.5,4.0,30.5,,Complete,88.34586,B,,22.5,34.0,26.5,44.0,2.0,89.57894,A,32.0,,,89.7183,82.5,84.72222,2.0
Complete,9.0,10.0,5.0,19.0,3.0,18.5,5.0,17.25,4.0,20.0,4.5,19.5,5.0,20.0,5.0,20.0,3.5,19.5,5.0,20.0,5.0,20.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,5.0,3.0,1.0,4.0,1.5,4.0,30.5,5.0,Complete,90.78947,A,,15,33.0,28.5,47.0,,92.36842,A,31.0,1.5,,92.74647,80.0,84.72222,6.5
Complete,,10.0,5.0,20.0,4.0,20.0,5.0,18.0,5.0,20.0,0.0,0.0,3.5,18.5,,,0.0,17.0,5.0,20.0,5.0,20.0,,0.0,,,,,2.0,5.0,,,2.0,,,9.0,5.0,,80.45111999999999,B,,25,28.0,28.0,48.0,1.0,77.05263000000001,C,34.0,,,80.84506999999999,77.5,25.0,6.0
,,,5.0,20.0,5.0,20.0,5.0,20.0,5.0,19.0,5.0,18.0,5.0,20.0,5.0,20.0,4.0,19.0,5.0,20.0,4.0,20.0,,,,,,,,,0.0,,,,,0.0,,,74.43609000000001,F,,22.5,36.0,26.0,39.0,,86.42105,B,35.0,,,93.38028,88.75,0.0,0.0
,9.0,10.0,5.0,20.0,5.0,19.5,3.0,20.0,5.0,20.0,5.0,20.0,3.0,18.0,5.0,17.0,4.0,20.0,5.0,20.0,5.0,20.0,,1.0,2.0,2.0,,2.0,,2.0,,2.0,,,,11.0,,Complete,92.85714,A,,10,38.0,29.0,50.0,,90.0,A,33.0,,,92.53520999999999,88.75,30.55555,0.0
Complete,9.0,10.0,4.5,17.0,4.0,17.5,4.0,17.0,0.0,20.0,5.0,19.0,4.5,17.0,5.0,20.0,3.5,19.5,5.0,20.0,4.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,77.4436,B,,22.5,36.0,25.5,48.0,,85.05263000000001,B,26.0,,,90.98591,77.5,0.0,0.0
Complete,7.0,9.0,5.0,20.0,5.0,16.0,,,2.0,16.0,4.0,17.0,,,3.0,19.0,1.0,20.0,,15.0,,,,0.0,1.0,,,,,,0.0,,,,,1.0,,,60.90225,D,,22.5,25.0,22.0,31.0,,60.105259999999994,D,25.0,,,61.54929,62.5,2.7777700000000003,0.0
Complete,10.0,10.0,5.0,18.0,5.0,20.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0,1.0,2.0,,4.0,2.0,,,,,,,,10.0,,,58.646609999999995,F,,,,,,,,,,,,13.521120000000002,0.0,27.77777,0.0
Complete,10.0,10.0,4.5,18.0,5.0,19.5,4.0,18.5,0.0,0.0,1.5,18.0,0.0,0.0,4.0,19.5,0.0,0.0,5.0,19.5,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Complete,67.29323000000001,D,,25,25.0,26.5,44.0,1.0,68.10526,D,24.0,,,71.40845,61.25,0.0,1.0
Complete,9.0,10.0,5.0,20.0,3.0,19.0,5.0,16.0,0.0,0.0,3.5,20.0,3.5,20.0,3.0,18.5,2.0,17.5,0.0,0.0,5.0,20.0,1.0,1.0,,2.0,4.0,,2.0,4.0,3.0,2.0,,,,19.0,,Complete,71.42857,C,,22.5,32.0,24.0,43.0,1.0,78.8421,C,29.0,,,76.19718,76.25,52.77777,1.0
Complete,9.0,9.0,4.0,18.0,5.0,17.0,0.0,0.0,4.5,20.0,4.5,20.0,4.5,19.0,4.0,20.0,5.0,19.0,5.0,19.5,4.5,20.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,65.03759000000001,D,,10,28.0,24.5,46.5,,77.15789000000001,C,26.0,,,82.95774,67.5,0.0,0.0
Complete,10.0,10.0,4.5,17.0,3.0,13.5,4.0,16.0,4.5,20.0,,11.0,4.0,17.0,,15.0,2.0,19.0,3.0,20.0,5.0,20.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,2.0,,,78.57141999999999,C,,17.5,30.0,15.0,33.5,,72.73684,C,29.0,,,74.50704,73.75,5.55555,0.0
,9.0,10.0,4.5,19.0,5.0,15.0,5.0,15.5,4.0,20.0,5.0,20.0,4.5,19.0,3.0,20.0,2.0,20.0,3.0,20.0,2.5,20.0,1.0,2.0,1.0,1.0,1.0,4.0,,5.0,3.0,,4.0,0.0,4.0,26.0,,Complete,87.96992,B,,22.5,24.0,26.0,38.0,,85.57894,B,30.0,,,88.30985,67.5,72.22222,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0
Complete,9.0,10.0,5.0,19.0,5.0,20.0,5.0,19.5,5.0,20.0,5.0,19.0,5.0,20.0,5.0,19.0,2.5,20.0,5.0,20.0,5.0,20.0,1.0,0.0,0.5,2.0,1.0,1.5,2.0,5.0,3.0,1.0,4.0,2.0,0.0,23.0,,Complete,92.85714,A,,12.5,32.0,30.0,49.0,,95.05263000000001,A,25.0,,,94.50704,71.25,63.88888000000001,0.0
Complete,8.0,10.0,5.0,17.0,4.5,19.0,5.0,18.5,4.5,19.0,5.0,18.5,4.0,18.5,3.0,19.5,1.5,18.0,5.0,19.0,4.5,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,83.83458,B,,25,19.0,23.0,42.5,1.0,80.71578000000001,B,26.0,,,89.7183,56.25,2.7777700000000003,1.0
Complete,9.0,10.0,4.5,19.0,4.0,17.0,5.0,19.0,5.0,19.5,4.0,20.0,5.0,15.5,4.5,19.0,3.5,20.0,4.5,19.0,5.0,18.0,1.0,2.0,1.0,0.0,2.0,1.5,2.0,4.0,3.0,1.0,2.0,2.0,4.0,25.5,,Complete,89.84962,B,,20,23.0,27.5,47.0,1.0,86.94736,B,25.0,,,91.69014,60.0,70.83333,1.0
,8.0,10.0,5.0,17.0,5.0,17.0,4.0,19.0,4.0,18.0,,17.0,5.0,17.0,4.0,19.0,3.0,19.0,5.0,17.0,4.0,20.0,,1.0,,,,2.0,2.0,2.0,0.0,,,2.0,,9.0,,In Progress,82.70676,B,,In Progress,28.0,26.0,29.0,,75.36842,C,29.0,,,77.18309,71.25,25.0,0.0
Complete,8.0,10.0,4.0,20.0,5.0,19.0,3.0,17.5,5.0,18.0,4.0,17.5,5.0,18.0,5.0,19.5,4.0,20.0,4.5,19.0,5.0,20.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,3.0,4.0,0.0,0.0,26.0,,Complete,89.09774,B,,25,37.0,29.0,45.5,1.0,93.68421,A,37.0,,,93.66197,92.5,72.22222,1.0
Complete,9.0,10.0,4.0,20.0,2.5,20.0,4.0,18.5,5.0,19.5,3.5,18.5,5.0,18.0,3.5,19.5,4.0,19.0,5.0,19.5,4.0,18.5,1.0,2.0,0.0,2.0,0.0,0.0,2.0,5.0,3.0,1.0,4.0,2.0,4.0,26.0,,Complete,88.34586,B,,22.5,29.0,23.5,42.5,1.0,86.73684,B,23.0,,,90.14084,65.0,72.22222,1.0
,,,5.0,20.0,2.0,20.0,5.0,18.0,0.0,0.0,5.0,19.0,0.0,0.0,4.5,19.5,0.0,0.0,5.0,19.0,5.0,20.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,2.0,4.0,22.0,,Complete,58.646609999999995,F,,22.5,34.0,30.0,0.0,1.0,64.52631,D,32.0,,,61.830980000000004,82.5,61.11111,1.0
Complete,9.0,10.0,5.0,17.0,3.0,18.5,5.0,18.0,5.0,20.0,5.0,19.0,4.0,19.0,2.0,15.0,0.0,18.0,5.0,20.0,5.0,20.0,1.0,,,,,2.0,2.0,4.0,,,,1.0,4.0,14.0,,Complete,85.33834,B,,22.5,37.0,29.0,45.0,,82.10526,B,29.0,,,90.14084,82.5,38.88888,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0
Complete,10.0,9.0,5.0,17.0,,18.0,5.0,20.0,5.0,18.0,5.0,18.0,2.0,16.0,4.0,19.0,2.0,19.0,5.0,20.0,4.0,20.0,1.0,,2.0,2.0,2.0,,2.0,2.0,3.0,1.0,,,4.0,19.0,,Complete,85.71428,B,,25,31.0,27.0,42.5,,88.10526,B,33.0,,,89.15491999999999,80.0,52.77777,0.0
Complete,9.0,10.0,5.0,18.0,5.0,18.0,5.0,18.0,4.0,19.0,5.0,19.0,4.0,19.0,5.0,20.0,2.0,20.0,5.0,20.0,5.0,20.0,,,,2.0,,,,,3.0,,,,,5.0,,,84.9624,B,,,29.0,28.0,44.0,,82.94736,B,33.0,,,86.76056,77.5,13.888879999999999,0.0
Complete,10.0,10.0,4.5,19.0,0.0,0.0,5.0,19.0,5.0,19.5,5.0,19.0,5.0,19.0,3.5,19.0,0.0,0.0,5.0,20.0,5.0,19.5,1.0,2.0,0.0,2.0,0.0,3.5,0.0,0.0,3.0,0.0,4.0,2.0,4.0,21.5,,Complete,75.5639,C,,17.5,28.0,28.5,39.5,1.0,75.68421,C,13.0,,,78.16901,51.25,59.72221999999999,1.0
Complete,10.0,9.0,4.0,18.0,3.0,16.5,0.0,0.0,5.0,19.5,5.0,19.5,5.0,20.0,4.0,17.5,3.0,20.0,5.0,20.0,5.0,20.0,1.0,1.0,1.5,2.0,0.0,3.5,2.0,5.0,0.0,1.0,4.0,0.0,0.0,21.0,,Complete,70.67669000000001,C,,20,35.0,25.0,50.0,1.0,85.26315,B,25.0,,,85.91549,75.0,58.333330000000004,1.0
Complete,10.0,9.0,5.0,19.0,4.0,20.0,5.0,18.5,5.0,18.0,0.0,18.0,5.0,15.5,0.0,16.0,5.0,17.0,5.0,19.0,5.0,20.0,1.0,1.0,2.0,,,2.0,2.0,4.0,3.0,3.0,4.0,2.0,4.0,28.0,5.0,Complete,89.84962,B,,25,35.0,29.0,47.0,1.0,92.21051999999999,A,38.0,,,90.42253000000001,91.25,77.77776999999999,6.0
Complete,10.0,10.0,4.0,20.0,5.0,19.0,4.0,19.5,5.0,19.0,4.0,19.0,4.0,18.5,5.0,19.5,4.0,19.0,5.0,20.0,5.0,20.0,1.0,0.0,2.0,,1.0,2.0,2.0,5.0,,,4.0,,,17.0,5.0,Complete,91.35338,A,,25,33.0,30.0,49.0,1.0,93.78947,A,29.0,,,96.47887,77.5,47.22222,6.0
Complete,10.0,9.0,0.0,0.0,5.0,17.0,5.0,16.0,5.0,20.0,3.0,20.0,5.0,20.0,4.5,15.5,5.0,20.0,5.0,20.0,5.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Complete,66.16541,D,,10,33.0,30.0,47.0,,79.36842,C,25.0,,,83.94366,72.5,2.7777700000000003,0.0
Complete,9.0,10.0,5.0,19.0,5.0,17.0,4.0,20.0,5.0,17.0,5.0,20.0,5.0,17.0,4.0,18.5,1.0,18.5,5.0,20.0,5.0,20.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,0.0,4.0,2.0,4.0,27.0,,Complete,90.97744,A,,25,29.0,25.5,48.0,,90.0,A,30.0,,,92.8169,73.75,75.0,0.0
Complete,10.0,9.0,,18.0,5.0,17.0,5.0,16.0,4.0,16.0,5.0,17.0,4.0,18.0,4.0,19.5,3.0,18.5,,,4.0,20.0,,,,,,,,4.0,0.0,,,,,4.0,,,75.18796,C,,25,26.0,23.0,40.0,,74.31578,C,22.0,,,79.43661,60.0,11.11111,0.0
